Country,Area(sq km),Birth rate(births/1000 population),Current account balance,Death rate(deaths/1000 population),Debt - external,Electricity - consumption(kWh),Electricity - production(kWh),Exports,GDP,GDP - per capita,GDP - real growth rate(%),HIV/AIDS - adult prevalence rate(%),HIV/AIDS - deaths,HIV/AIDS - people living with HIV/AIDS,Highways(km),Imports,Industrial production growth rate(%),Infant mortality rate(deaths/1000 live births),Inflation rate (consumer prices)(%),Internet hosts,Internet users,Investment (gross fixed)(% of GDP),Labor force,Life expectancy at birth(years),Military expenditures - dollar figure,Military expenditures - percent of GDP(%),Natural gas - consumption(cu m),Natural gas - exports(cu m),Natural gas - imports(cu m),Natural gas - production(cu m),Natural gas - proved reserves(cu m),Oil - consumption(bbl/day),Oil - exports(bbl/day),Oil - imports(bbl/day),Oil - production(bbl/day),Oil - proved reserves(bbl),Population,Public debt(% of GDP),Railways(km),Reserves of foreign exchange & gold,Telephones - main lines in use,Telephones - mobile cellular,Total fertility rate(children born/woman),Unemployment rate(%)
China,9596960.00,13.14,30320000000.00,6.94,233300000000.00,1630000000000.00,1910000000000.00,583100000000.00,7262000000000.00,5600.00,9.10,0.10,44000.00,840000.00,1765222.00,552400000000.00,17.10,24.18,4.10,160421.00,94000000.00,46.00,760800000.00,72.27,67490000000.00,4.30,29180000000.00,0.00,0.00,35000000000.00,2230000000000.00,4956000.00,427800.00,2414000.00,3392000.00,17740000000.00,1306313812.00,31.40,70058.00,609900000000.00,263000000.00,269000000.00,1.72,9.80
India,3287590.00,22.32,4897000000.00,8.28,117200000000.00,510100000000.00,547200000000.00,69180000000.00,3319000000000.00,3100.00,6.20,0.90,310000.00,5100000.00,2525989.00,89330000000.00,7.40,56.29,4.20,86871.00,18481000.00,23.80,482200000.00,64.35,16970000000.00,2.50,22750000000.00,0.00,0.00,22750000000.00,542400000000.00,2130000.00,,,780000.00,5700000000.00,1080264388.00,59.70,63140.00,126000000000.00,48917000.00,26154400.00,2.78,9.20
United States,9631418.00,14.14,-646500000000.00,8.25,1400000000000.00,3660000000000.00,3839000000000.00,795000000000.00,11750000000000.00,40100.00,4.40,0.60,14000.00,950000.00,6393603.00,1476000000000.00,4.40,6.50,2.50,115311958.00,159000000.00,15.70,147400000.00,77.71,370700000000.00,3.30,640900000000.00,11160000000.00,114100000000.00,548100000000.00,5195000000000.00,19650000.00,,,7800000.00,22450000000.00,295734134.00,65.00,228464.00,85940000000.00,181599900.00,158722000.00,2.08,5.50
Mexico,1972550.00,21.01,-4113000000.00,4.73,149900000000.00,189700000000.00,203600000000.00,182400000000.00,1006000000000.00,9600.00,4.10,0.30,5000.00,160000.00,329532.00,190800000000.00,3.80,20.91,5.40,1333406.00,10033000.00,19.40,34730000.00,75.19,6043000000.00,0.90,55100000000.00,0.00,7850000000.00,47300000000.00,420000000000.00,1752000.00,1863000.00,205000.00,3460000.00,18000000000.00,106202903.00,23.50,19510.00,60670000000.00,15958700.00,28125000.00,2.45,3.20
Germany,357021.00,8.33,73590000000.00,10.55,,519500000000.00,560000000000.00,893300000000.00,2362000000000.00,28700.00,1.70,0.10,1000.00,43000.00,230735.00,716700000000.00,2.20,4.16,1.60,2686119.00,39000000.00,17.60,42630000.00,78.65,35063000000.00,1.50,99550000000.00,7731000000.00,85020000000.00,21000000000.00,293000000000.00,2891000.00,12990.00,2135000.00,74100.00,395800000.00,82431390.00,65.80,46039.00,96840000000.00,54350000.00,64800000.00,1.39,10.60
France,547030.00,12.15,-305000000.00,9.08,,414700000000.00,528600000000.00,419000000000.00,1737000000000.00,28700.00,2.10,0.40,1000.00,120000.00,893100.00,419700000000.00,1.70,4.26,2.30,2396761.00,21900000.00,19.20,27700000.00,79.60,45238100000.00,2.60,42010000000.00,1725000000.00,40260000000.00,1898000000.00,12860000000.00,2026000.00,409600.00,2281000.00,34920.00,144300000.00,60656178.00,67.70,32175.00,70760000000.00,33905400.00,41683100.00,1.85,10.10
United Kingdom,244820.00,10.78,-33460000000.00,10.18,4710000000000.00,337400000000.00,395900000000.00,347200000000.00,1782000000000.00,29600.00,3.20,0.20,500.00,51000.00,392931.00,439400000000.00,0.90,5.16,1.40,3398708.00,25000000.00,16.20,29780000.00,78.38,42836500000.00,2.40,92850000000.00,15750000000.00,2700000000.00,105900000000.00,714900000000.00,1692000.00,1498000.00,1084000.00,1957000.00,25410000000.00,60441457.00,39.60,17186.00,48730000000.00,34898000.00,49677000.00,1.66,4.80
Greece,131940.00,9.72,-8000000000.00,10.15,67230000000.00,47420000000.00,47220000000.00,15500000000.00,226400000000.00,21300.00,3.70,0.20,100.00,9100.00,117000.00,54280000000.00,4.10,5.53,2.90,208977.00,1718400.00,27.00,4400000.00,79.09,5890000000.00,4.30,2021000000.00,0.00,2018000000.00,35000000.00,254900000.00,405700.00,84720.00,468300.00,5992.00,4500000.00,10668354.00,112.00,2571.00,7300000000.00,5205100.00,8936200.00,1.33,10.00
Finland,338145.00,10.50,11390000000.00,9.79,30000000000.00,78580000000.00,71590000000.00,61040000000.00,151200000000.00,29000.00,3.00,0.10,100.00,1500.00,78197.00,45170000000.00,2.00,3.57,0.70,1219173.00,2650000.00,18.30,2660000.00,78.35,1800000000.00,2.00,4557000000.00,0.00,4567000000.00,0.00,,211400.00,101000.00,318300.00,0.00,,5223442.00,46.80,5851.00,11170000000.00,2548000.00,4700000.00,1.73,8.90
Norway,324220.00,11.67,30520000000.00,9.45,0.00,107400000000.00,125900000000.00,76640000000.00,183000000000.00,40000.00,3.30,0.10,100.00,2100.00,91852.00,45960000000.00,5.20,3.70,1.00,593850.00,2288000.00,17.50,2380000.00,79.40,4033500000.00,1.90,4100000000.00,50500000000.00,0.00,54600000000.00,1716000000000.00,171100.00,3466000.00,88870.00,3310000.00,9859000000.00,4593041.00,33.10,4077.00,,3343000.00,4163400.00,1.78,4.30
